"Date","Sales","TV_Ads_Expenditure","Social_Media_Ads_Expenditure","Discounts_Offered","Customer_Traffic","Competitor_Pricing","Seasonality_Factor","Economic_Indicator"
2008-01-20,5843.14,3332.06,3067.14,22.83,185,97.04,0.34,1.57
2008-01-27,5902.81,4619.77,1944,17.38,184,100.49,0.45,1.92
2008-02-03,7294.83,5919,3128.98,25.31,194,90.56,0.55,2.35
2008-02-10,8146.27,4424.65,2500.06,21.37,223,97.88,0.65,2.91
2008-02-17,8821.38,5607.96,3765.73,14.02,215,82.01,0.74,1.52
2008-02-24,4812.25,3382.12,4939.59,16.8,193,106.83,0.81,1.55
2008-03-02,4269,4944.44,2267.22,19.96,187,112.02,0.88,1.69
2008-03-09,5822.35,5519.41,3846.13,23.15,182,96.82,0.93,2.97
2008-03-16,7339.92,5301.15,3660.12,13.9,207,107.66,0.97,2.3
2008-03-23,7088.72,5105.68,2943.84,19.66,196,100.08,0.99,2.21
2008-03-30,5677.63,4359.29,2637.08,17.92,210,91.63,1,1.58
2008-04-06,5542.85,4150.3,4260.25,19.84,189,98.59,1,1.33
2008-04-13,5504.39,3975.87,1395.63,27.21,186,94.57,0.98,2.28
2008-04-20,7245.68,5117.65,2485.44,26.68,200,80.98,0.94,2.97
2008-04-27,3111.25,4052.53,1850.53,25.78,206,101.81,0.9,1.7
2008-05-04,8103.66,4509.44,4116.25,9.04,207,104.5,0.84,1.7
2008-05-11,8714.1,4743.91,2847.44,13.28,184,90.45,0.76,2.59
2008-05-18,7974.38,6843.86,2580.26,28.15,194,94.87,0.68,2.93
2008-05-25,4444.94,4348.05,5547.24,28.13,205,88.36,0.59,0.88
2008-06-01,6766.72,5235.39,2959.97,20.91,202,86.39,0.49,2
2008-06-08,5962.11,5077.96,2645,24.82,201,88.71,0.38,2.02
2008-06-15,5255.96,4038.14,3239.89,19.29,203,99.28,0.26,2.31
2008-06-22,7696.47,4928.69,1745.26,5.98,205,98.41,0.15,2.28
2008-06-29,5996.15,6444.55,3392.24,12.19,201,92.48,0.03,1.82
2008-07-06,6419.89,5451.5,2923.07,17.02,209,95.18,-0.09,2.84
2008-07-13,6919.52,5041.23,3374.82,15.87,195,99.33,-0.21,1.26
2008-07-20,3477.86,4577.5,2214.1,28.31,196,104.42,-0.33,1.95
2008-07-27,4319.84,2946.75,2181.61,21.14,175,97.87,-0.44,1.9
2008-08-03,6296.02,6131.34,2445.27,5.02,202,95.83,-0.55,0.96
2008-08-10,5203.33,3539.36,2385.61,5.49,206,90.22,-0.64,3.77
2008-08-17,6864.83,5739.95,4039.24,12.42,206,104.64,-0.73,2.57
2008-08-24,8467.25,6909.1,4263.32,11.84,193,92.63,-0.81,2.52
2008-08-31,5031.85,3556.11,2874.49,25.74,200,86.34,-0.87,2.04
2008-09-07,5658.58,5701.78,2712.85,23.03,183,114.49,-0.92,2.28
2008-09-14,5796.95,4737.8,2736.77,22.01,191,90.66,-0.96,1.63
2008-09-21,5974.05,3427.86,3055.39,14.6,188,101.34,-0.99,1.35
2008-09-28,5469.67,3485.33,3077.52,9.63,188,109.41,-1,2.66
2008-10-05,4107.03,3398.46,3232.03,10.29,193,104.58,-1,2.35
2008-10-12,7425.41,4469.09,2402.66,22.59,186,95.38,-0.98,2.07
2008-10-19,5135.31,3538.24,2322.48,11.56,190,115.84,-0.95,2.06
2008-10-26,7839.24,5687.92,3957.66,10.66,213,93.87,-0.9,1.86
2008-11-02,7477.94,7100.11,2561.1,19.83,210,85.35,-0.84,2.38
2008-11-09,6264.66,3712.97,3242.44,8.68,214,106.49,-0.77,2.07
2008-11-16,5877.45,5787.74,2954.42,6.28,214,106.84,-0.69,1.87
2008-11-23,4952.72,5769.04,2233.72,5.35,174,108.61,-0.59,2.29
2008-11-30,8045.61,5332.2,3472.85,25.2,234,91.03,-0.49,1.78
2008-12-07,5346.22,3991.62,3138.48,25.06,210,95.87,-0.39,2.12
2008-12-14,6737.24,4880.55,4119.83,5.38,201,125.76,-0.27,2.34
2008-12-21,7184.4,4719.6,3093.97,19.88,193,97.59,-0.15,2.1
2008-12-28,5396.21,5562.99,2734.76,12.68,190,109.86,-0.03,1.22
2009-01-04,7034.47,4627.56,3222.64,20.15,207,98.96,0.07,1.96
2009-01-11,6226.69,5976.97,2051.53,10.39,191,95.04,0.19,1.99
2009-01-18,5643.53,4625.42,2331.28,28.7,203,78.15,0.3,1.78
2009-01-25,7071.89,6052.71,3408.22,7.65,194,88.65,0.42,2.16
2009-02-01,7830.72,3950.82,2733.5,7.99,192,83.04,0.52,2.35
2009-02-08,7915.27,3739.84,2947.23,8.51,197,88.31,0.62,2.55
2009-02-15,9789.93,8241.04,2907.82,12.32,205,105.84,0.71,1.84
2009-02-22,6431.62,4583.14,2479.59,19.97,163,107.26,0.79,1.82
2009-03-01,4185.38,5298.23,1385.05,10.23,200,99.47,0.86,1.51
2009-03-08,8249.92,5636.57,3279.07,16.31,206,92.94,0.91,2.48
2009-03-15,8779.75,4516.22,3609.31,16.32,192,104.77,0.96,2.14
2009-03-22,6994.82,5516.86,1969.03,14.54,195,89.98,0.98,1.58
2009-03-29,5499.99,5368.96,4185.92,29.69,190,98.29,1,2.42
2009-04-05,8247.04,4784.62,3308.12,5.25,195,98,1,1.62
2009-04-12,7444.26,5065.29,4073.31,26.64,197,117.2,0.98,2.25
2009-04-19,6177.23,4965.93,2234.26,7.32,185,109.12,0.95,2.74
2009-04-26,7142.45,7128.45,3133.43,9.55,218,91.69,0.91,1.95
2009-05-03,6288.33,4258.66,2919.99,16.19,204,106.36,0.85,2.45
2009-05-10,7163.49,3904,3614.81,23.23,220,92.38,0.79,1.74
2009-05-17,5462.52,5037.79,2539.31,9.75,190,97.39,0.71,2.45
2009-05-24,6757.9,5310.48,2991.92,8.48,195,106.09,0.62,2.12
2009-05-31,7158.7,5436.52,1577.07,10.32,183,76.17,0.52,1.57
2009-06-07,5026.73,4541.63,2377.9,9.22,166,103.03,0.41,1.9
2009-06-14,7074.63,3936.67,3100.03,26.33,213,94.68,0.3,2.57
2009-06-21,6983.97,6263.19,2434.94,23.5,192,93.29,0.18,1.61
2009-06-28,6918.36,4650.35,2965.14,19.24,202,81.87,0.06,1.89
2009-07-05,5512.44,4134.49,2625.66,26.38,184,101.23,-0.06,1.62
2009-07-12,5317.88,4763.72,3485.54,8.71,224,90.67,-0.18,2.19
2009-07-19,8198.87,4802.82,3934.79,14.44,214,116.69,-0.3,2.24
2009-07-26,6626.73,6109.92,2342,12.99,209,102.92,-0.41,2.03
2009-08-02,8551.08,5084.74,2754.37,5.75,201,90.45,-0.52,1.82
2009-08-09,6361.56,5754.05,4151.81,14.7,210,104.34,-0.62,1.05
2009-08-16,4898.93,4500.71,1240.86,22.74,209,100.67,-0.71,1.88
2009-08-23,7591.31,5214.45,2744.13,11.2,222,111.1,-0.79,2.58
2009-08-30,7884.25,4675.31,4651.76,21.2,212,112.56,-0.85,1.64
2009-09-06,6646.53,5094.58,4754.87,9.19,197,89.73,-0.91,2.97
2009-09-13,5143.82,4104.64,3125.28,24.31,203,103.7,-0.95,2.32
2009-09-20,4773.67,3689.2,2309.11,16.98,205,91.03,-0.98,1.88
2009-09-27,8373.64,6997.21,3132.37,6.51,216,101.69,-1,2.77
2009-10-04,6492.8,5600.71,2477.78,24.27,198,110.04,-1,2.65
2009-10-11,4913.31,3748.73,4162.25,26.93,205,112.11,-0.98,1.85
2009-10-18,4653.34,4388.83,2354.81,19.74,205,89.6,-0.96,2.31
2009-10-25,6124.35,3814.52,3298.33,20.24,225,94.06,-0.91,2.57
2009-11-01,7505.96,7198.81,3495.88,15.52,206,81.32,-0.86,1.57
2009-11-08,7455.94,6312.41,2393.99,6.21,188,106.9,-0.79,2.16
2009-11-15,4595.11,4734.85,3681.22,21.27,196,107.12,-0.71,1.97
2009-11-22,6462.12,5543.19,2401.66,17.55,199,106.16,-0.62,1.55
2009-11-29,7178.84,4585.66,3504.19,24.66,190,102.88,-0.52,2.99
2009-12-06,7002.43,4523.75,3877.33,18.68,226,103.11,-0.42,2.05
2009-12-13,4622.87,4211.4,2209.25,16.1,198,95.74,-0.3,1.8
2009-12-20,5190.77,4405.38,3886.4,25.94,201,92.57,-0.19,2.35
2009-12-27,8125.02,6650.91,2608.37,21.89,186,96.71,-0.07,2.62
2010-01-03,8511.01,4945.97,3235.48,6.29,192,123.16,0.05,2.41
2010-01-10,5442.24,5119.25,3161.47,8.15,167,102.86,0.17,2.57
2010-01-17,6396.76,5243.69,2658.24,25.66,198,96.71,0.29,0.52
2010-01-24,6467.96,6232.48,3214.48,15.04,213,103.07,0.4,2.05
2010-01-31,5357.71,4483.94,2015.66,17.63,215,95.59,0.51,1.88
2010-02-07,6807.87,4007.49,2891.09,13.43,204,112.94,0.61,1.63
2010-02-14,6984.93,6675.7,3660.63,20.6,216,108.53,0.7,2.48
2010-02-21,5058.02,4558.84,1260.7,19.44,200,80.34,0.78,1.78
2010-02-28,7391,4276.93,1809.66,10.56,225,94.12,0.85,1.62
2010-03-07,5818.69,3763.73,2070.45,20.99,223,85.69,0.91,2.03
2010-03-14,5597.79,3715.28,1728.73,13.92,198,100.02,0.95,2.06
2010-03-21,7109.25,4426.03,3335.67,16.27,206,99.82,0.98,2.83
2010-03-28,6049.25,5617.99,2205.66,15.02,194,108.15,1,1.6
2010-04-04,7932.04,6109.85,1268.36,10.54,200,88.32,1,2.63
2010-04-11,7502.9,5707.59,2489.94,11.2,209,87.37,0.99,2.17
2010-04-18,6622.29,4636.34,2687.49,9.41,194,97.26,0.96,1.61
2010-04-25,8448.33,5059.75,3685.43,15.81,204,83.91,0.92,2.33
2010-05-02,6080.22,4295.4,2117,20.24,196,108.52,0.86,1.92
2010-05-09,7512.95,4282.78,3929.03,15.23,200,95.69,0.8,2.34
2010-05-16,6073.77,5884.65,3318.69,27.81,192,86.31,0.72,2.62
2010-05-23,6796.62,3984.41,3289.88,12.03,217,96.31,0.63,2.53
2010-05-30,7252.54,6955.29,2317.98,10.39,197,106.86,0.53,2.48
2010-06-06,7246.23,4909.68,4562.93,18.81,195,112.53,0.43,1.46
2010-06-13,6503.42,5214.54,2868.58,13.75,206,113.53,0.31,1.21
2010-06-20,5611.2,4261.47,1540.08,28.45,213,103.94,0.2,2.25
2010-06-27,5709.28,4425.61,2836.91,20.74,200,104.19,0.08,1.36
2010-07-04,3607.91,3682.98,1452.44,15.92,229,105.88,-0.04,1.86
2010-07-11,7120.68,4817.07,2751.59,12.24,226,120.29,-0.16,2.38
2010-07-18,6803.88,5418.98,2662.22,5.92,209,89.27,-0.28,2.85
2010-07-25,6325.16,5324.3,3545.46,18.71,200,104.8,-0.39,2.24
2010-08-01,5464.15,4218.46,3807.6,13.01,207,96.39,-0.5,1.9
2010-08-08,5713.72,4211.38,2419.12,17.03,192,112.27,-0.6,2.52
2010-08-15,6885.9,4497.8,3644.89,25.23,205,117.64,-0.69,1.25
2010-08-22,7366.94,6496.06,4139.46,10.47,191,81.8,-0.77,1.73
2010-08-29,5853.46,3862.7,2372.68,7.23,197,83.47,-0.85,1.54
2010-09-05,4233.67,4820.95,2478.08,24.93,202,94.55,-0.9,2.06
2010-09-12,6246.32,6902.36,3520.62,9.36,195,99.65,-0.95,1.73
2010-09-19,5100.19,4899.03,3146.44,25.03,186,92.58,-0.98,1.49
2010-09-26,6308.02,3640.16,3439.02,5.92,179,96.57,-1,1.53
2010-10-03,6175.48,4335.23,4123.75,26.18,211,92.99,-1,1.77
2010-10-10,5868.61,5485.46,3309.67,25.54,207,120.72,-0.99,1.91
2010-10-17,5758.44,4624.4,3841.36,27.44,205,91.41,-0.96,2.41
2010-10-24,4283.48,4438.12,3498.32,14.36,183,97.69,-0.92,1.85
2010-10-31,6609.02,4656.08,3346.9,12.66,197,98.12,-0.87,2.39
2010-11-07,7234.01,5090.5,3308.87,27.97,217,112.22,-0.8,2.75
2010-11-14,7132.46,6598.51,4033.06,13.03,196,94.63,-0.72,1.93
2010-11-21,5411.16,4911.43,2198.19,28.13,208,87.28,-0.64,2.3
2010-11-28,5472.85,6080.8,2115.85,20.08,202,111.31,-0.54,2.06
2010-12-05,5844.06,5630.75,3473.56,19.53,218,113.54,-0.43,2.24
2010-12-12,7024.08,4886.36,2904.25,23.39,184,82.49,-0.32,2.48
2010-12-19,8297.43,3467.1,3059.2,14.99,197,97.11,-0.21,3.1
2010-12-26,4562.2,4478.88,3593.02,14.18,184,99.01,-0.09,1.78
2011-01-02,7647.09,4510.13,3602.64,15.78,187,99.59,0.03,2.53
2011-01-09,6118.78,5047.15,2789.86,13.4,180,95.73,0.15,1.41
2011-01-16,6837.58,6300.2,2749.96,22.45,200,91.21,0.27,1.96
2011-01-23,7703.8,7293.08,3058.88,11.7,199,110.72,0.39,1.4
2011-01-30,7445.14,6547.58,3850.41,26.34,168,96.8,0.49,2.64
2011-02-06,6387.54,4866.85,3340.82,28.27,190,99.72,0.59,1.77
2011-02-13,8590.39,3243.47,4146.41,16.62,174,92.47,0.69,1.78
2011-02-20,7382.91,4611.22,2993.89,5.15,238,109.34,0.77,1.82
2011-02-27,8016.15,5089.21,3900.53,28.52,167,94.05,0.84,2.58
2011-03-06,6255.74,5845.01,3706.4,15.84,183,102.44,0.9,0.99
2011-03-13,6412.53,5962.53,3489.67,25.83,196,110.17,0.95,2.39
2011-03-20,6923.35,5684.31,3331.76,17.88,202,95.97,0.98,1.55
2011-03-27,7961.3,3604.73,2776.09,17,176,82.16,1,1.89
2011-04-03,7967.52,5849.64,2912.77,8.62,203,100.42,1,1.9
2011-04-10,8257.95,4553.44,3183.52,6.45,233,87.33,0.99,2.56
2011-04-17,6348.29,5174.8,3039.11,21.25,211,116.35,0.96,1.86
2011-04-24,7040.55,5074.55,3754.58,14.34,182,107.02,0.92,2.46
2011-05-01,7426.38,5428.17,2912.55,5.61,193,98.15,0.87,1.92
2011-05-08,5433.05,5024.67,2943.7,6.87,191,98.25,0.81,1.98
2011-05-15,6538.51,3332.52,2612.54,25.76,215,106.46,0.73,1.72
2011-05-22,5518.15,5736.5,2889.33,23.36,203,113.57,0.64,2.25
2011-05-29,8296.34,5386.03,2944.99,6.2,209,101.4,0.55,2.42
2011-06-05,5652.17,4734.35,1149.01,23.13,188,107.6,0.44,2.05
2011-06-12,4141.79,5118.14,1908.13,5.35,181,101.09,0.33,1.9
2011-06-19,7533.76,5134.04,2942.01,20.27,201,113.18,0.21,1.52
2011-06-26,5965.01,5221.02,2787.77,10.56,205,123.1,0.09,1.05
2011-07-03,7765.69,6640.85,2039.3,20.51,215,89.49,-0.03,1.83
2011-07-10,6447.16,4780.95,1406.77,19.11,195,87.76,-0.15,1.41
2011-07-17,8575.64,5168.07,2716.5,17.69,227,78.08,-0.26,2.57
2011-07-24,7627.52,6168.38,3522.8,11.43,193,102.91,-0.38,1.36
2011-07-31,7821.63,6054.18,4418.59,13.97,202,92.81,-0.49,2.62
2011-08-07,5640.11,6145.26,2969.23,12.2,200,111.07,-0.59,2.5
2011-08-14,7525.62,4422.53,4194.55,9.75,199,80.11,-0.68,1.69
2011-08-21,6994.99,7002.48,3066.42,20.76,200,101.99,-0.76,1.25
2011-08-28,7270.93,5066.7,3092.43,5.27,199,104.09,-0.84,1.71
2011-09-04,7277.06,6866.85,3259.86,8.62,200,85.5,-0.9,2.53
2011-09-11,4953.57,3649.1,2303.54,17.73,179,78.35,-0.94,1.89
2011-09-18,5288.64,5020.98,2958.63,16.64,193,102.73,-0.98,1.47
2011-09-25,6639.98,6249.91,3726.76,18.03,209,84.82,-1,1.39
2011-10-02,4798.35,4284.76,2400.22,22.27,226,88.93,-1,2.63
2011-10-09,5207.01,4247.31,2742.72,30,202,94.59,-0.99,2.34
2011-10-16,4256.97,4061.46,2081.78,28.72,190,106.03,-0.97,2.17
2011-10-23,7107.88,3947.49,3283.48,28.81,189,85.98,-0.93,2.29
2011-10-30,4719.97,4562.84,3339.84,22.1,173,90.66,-0.88,2.87
2011-11-06,6264.48,5331.18,3518.68,23.4,190,84.93,-0.81,1.96
2011-11-13,4675.8,2985.79,2024.15,28.92,210,96.69,-0.74,2.23
2011-11-20,6053.57,5211.98,3085.79,10.18,176,91.55,-0.65,2.19
2011-11-27,5244.43,6236.68,2244.75,21.87,193,114.91,-0.55,2.02
2011-12-04,7485.14,7037.57,2999.69,7.44,199,101.48,-0.45,1.88
2011-12-11,7060.54,6301.18,4074.1,17.47,211,119.1,-0.34,1.89
2011-12-18,6806.38,5756.77,2597.18,23.95,221,96.41,-0.22,1.96
2011-12-25,6747.19,3273.27,3573.35,5.3,197,107.51,-0.1,1.88
2012-01-01,7089.39,4398.49,2400.27,9,195,98.64,0.02,1.57
2012-01-08,7251.89,4647.95,2617.18,7.76,207,94.48,0.14,2.27
2012-01-15,7341.36,5703.52,3350.98,25.07,206,114.93,0.26,2.23
2012-01-22,6202.14,4894.33,2456.71,14.37,218,113.46,0.37,1.68
2012-01-29,5057.7,3741.35,1637.63,20.77,224,94.68,0.48,1.72
2012-02-05,8400.4,6684.44,4012.13,24.05,197,86.9,0.58,2.18
2012-02-12,6688.33,5911.39,3288.29,11.22,201,101.86,0.67,2.34
2012-02-19,6247.39,5237.43,2533.09,14.34,181,117.59,0.76,2.56
2012-02-26,7931.89,6218.11,1404.74,13.49,190,110.99,0.83,2.45
2012-03-04,7339.83,3661.23,4521.77,22.67,206,78.93,0.89,2.92
2012-03-11,8036.87,5660.82,5712.3,19.29,216,78.77,0.94,1.4
2012-03-18,6281.31,4477.09,3165.98,8.59,193,101.77,0.97,2.2
2012-03-25,8149.34,5683.75,3679.85,12.42,175,110.53,0.99,3.06
2012-04-01,9089.41,4939.18,3979.65,14.8,238,98.41,1,2.92
2012-04-08,7538.12,5632.96,2438.56,18.06,202,94.13,0.99,1.75
2012-04-15,8464.43,6335.52,2719.04,19.65,222,116.02,0.97,2.12
2012-04-22,6802.17,5007.29,1618.3,12.73,194,119.2,0.93,2.18
2012-04-29,7260.91,6017.56,2410.74,13.99,216,101.32,0.88,2.02
2012-05-06,5899.54,3811.57,3497.93,28.23,185,98.06,0.82,1.54
2012-05-13,5672.83,4278.4,2767.43,18.62,189,102.91,0.74,1.79
2012-05-20,9232.53,6519.22,2828.63,19.73,207,96.67,0.66,2.58
2012-05-27,6269.62,5377.39,2909.95,11.28,192,91.24,0.56,3.02
2012-06-03,5878.3,2947.78,1509.07,14.72,192,84.22,0.46,2.15
2012-06-10,6282.86,3635.96,3670.1,21.15,190,95.54,0.35,1.38
2012-06-17,5075.92,4799.22,1845.21,14.13,192,106.65,0.23,0.46
2012-06-24,7126.78,5865.78,2833.14,16.69,181,119.01,0.11,2.05
2012-07-01,6106.42,4898.12,2649.15,9.43,199,99.27,-0.01,1.79
2012-07-08,7162.15,5624.19,2825.12,17.03,214,107.17,-0.13,1.59
2012-07-15,6907.3,5959.01,4167.97,28.29,208,107.04,-0.25,1.15
2012-07-22,7299.6,6671.05,2534.35,5.64,203,104.78,-0.36,2.65
